image_path,x_pixel,y_pixel,width,height
C:\Users\bopa17452\OneDrive - Hatch Ltd\Documents\GitHub\Dream Drive AI/data/raw/IMG_2617.jpeg,534,126,1076,1015
C:\Users\bopa17452\OneDrive - Hatch Ltd\Documents\GitHub\Dream Drive AI/data/raw/IMG_2618.jpeg,520,180,1061,1009
C:\Users\bopa17452\OneDrive - Hatch Ltd\Documents\GitHub\Dream Drive AI/data/raw/IMG_2619.jpeg,516,197,1075,1006
C:\Users\bopa17452\OneDrive - Hatch Ltd\Documents\GitHub\Dream Drive AI/data/raw/IMG_2620.jpeg,516,197,1078,1012
C:\Users\bopa17452\OneDrive - Hatch Ltd\Documents\GitHub\Dream Drive AI/data/raw/IMG_2621.jpeg,516,197,1063,1018
C:\Users\bopa17452\OneDrive - Hatch Ltd\Documents\GitHub\Dream Drive AI/data/raw/IMG_2622.jpeg,555,237,1074,1010
C:\Users\bopa17452\OneDrive - Hatch Ltd\Documents\GitHub\Dream Drive AI/data/raw/IMG_2623.jpeg,624,194,1072,1012
C:\Users\bopa17452\OneDrive - Hatch Ltd\Documents\GitHub\Dream Drive AI/data/raw/IMG_2624.jpeg,554,239,1065,1001
C:\Users\bopa17452\OneDrive - Hatch Ltd\Documents\GitHub\Dream Drive AI/data/raw/IMG_2625.jpeg,557,284,1072,1010
C:\Users\bopa17452\OneDrive - Hatch Ltd\Documents\GitHub\Dream Drive AI/data/raw/IMG_2626.jpeg,558,289,1073,1029
C:\Users\bopa17452\OneDrive - Hatch Ltd\Documents\GitHub\Dream Drive AI/data/raw/IMG_2627.jpeg,628,230,1073,1011
C:\Users\bopa17452\OneDrive - Hatch Ltd\Documents\GitHub\Dream Drive AI/data/raw/IMG_2628.jpeg,489,211,1069,1007
C:\Users\bopa17452\OneDrive - Hatch Ltd\Documents\GitHub\Dream Drive AI/data/raw/IMG_2629.jpeg,524,306,1084,1011
C:\Users\bopa17452\OneDrive - Hatch Ltd\Documents\GitHub\Dream Drive AI/data/raw/IMG_2630.jpeg,486,184,1070,1016
C:\Users\bopa17452\OneDrive - Hatch Ltd\Documents\GitHub\Dream Drive AI/data/raw/IMG_2631.jpeg,608,228,1068,1015
C:\Users\bopa17452\OneDrive - Hatch Ltd\Documents\GitHub\Dream Drive AI/data/raw/IMG_2632.jpeg,563,213,1077,1016
C:\Users\bopa17452\OneDrive - Hatch Ltd\Documents\GitHub\Dream Drive AI/data/raw/IMG_2633.jpeg,536,321,1079,1015
C:\Users\bopa17452\OneDrive - Hatch Ltd\Documents\GitHub\Dream Drive AI/data/raw/IMG_2634.jpeg,461,300,1070,1015
C:\Users\bopa17452\OneDrive - Hatch Ltd\Documents\GitHub\Dream Drive AI/data/raw/IMG_2635.jpeg,469,212,1063,1009
C:\Users\bopa17452\OneDrive - Hatch Ltd\Documents\GitHub\Dream Drive AI/data/raw/IMG_2636.jpeg,682,320,1085,1010
