image_path,x_pixel,y_pixel,width,height
C:\Users\bopa17452\OneDrive - Hatch Ltd\Documents\GitHub\Dream Drive AI/data/raw/IMG_2617.jpeg,537,127,1076,1015
C:\Users\bopa17452\OneDrive - Hatch Ltd\Documents\GitHub\Dream Drive AI/data/raw/IMG_2618.jpeg,520,180,1061,1009
C:\Users\bopa17452\OneDrive - Hatch Ltd\Documents\GitHub\Dream Drive AI/data/raw/IMG_2619.jpeg,521,196,1075,1006
C:\Users\bopa17452\OneDrive - Hatch Ltd\Documents\GitHub\Dream Drive AI/data/raw/IMG_2620.jpeg,608,213,1078,1012
C:\Users\bopa17452\OneDrive - Hatch Ltd\Documents\GitHub\Dream Drive AI/data/raw/IMG_2621.jpeg,566,171,1063,1018
C:\Users\bopa17452\OneDrive - Hatch Ltd\Documents\GitHub\Dream Drive AI/data/raw/IMG_2622.jpeg,553,243,1074,1010
C:\Users\bopa17452\OneDrive - Hatch Ltd\Documents\GitHub\Dream Drive AI/data/raw/IMG_2623.jpeg,627,195,1072,1012
C:\Users\bopa17452\OneDrive - Hatch Ltd\Documents\GitHub\Dream Drive AI/data/raw/IMG_2624.jpeg,554,247,1065,1001
C:\Users\bopa17452\OneDrive - Hatch Ltd\Documents\GitHub\Dream Drive AI/data/raw/IMG_2625.jpeg,562,286,1072,1010
C:\Users\bopa17452\OneDrive - Hatch Ltd\Documents\GitHub\Dream Drive AI/data/raw/IMG_2626.jpeg,562,293,1073,1029
C:\Users\bopa17452\OneDrive - Hatch Ltd\Documents\GitHub\Dream Drive AI/data/raw/IMG_2627.jpeg,633,235,1073,1011
C:\Users\bopa17452\OneDrive - Hatch Ltd\Documents\GitHub\Dream Drive AI/data/raw/IMG_2628.jpeg,492,214,1069,1007
C:\Users\bopa17452\OneDrive - Hatch Ltd\Documents\GitHub\Dream Drive AI/data/raw/IMG_2629.jpeg,524,304,1084,1011
C:\Users\bopa17452\OneDrive - Hatch Ltd\Documents\GitHub\Dream Drive AI/data/raw/IMG_2630.jpeg,489,186,1070,1016
C:\Users\bopa17452\OneDrive - Hatch Ltd\Documents\GitHub\Dream Drive AI/data/raw/IMG_2631.jpeg,613,228,1068,1015
C:\Users\bopa17452\OneDrive - Hatch Ltd\Documents\GitHub\Dream Drive AI/data/raw/IMG_2632.jpeg,562,213,1077,1016
C:\Users\bopa17452\OneDrive - Hatch Ltd\Documents\GitHub\Dream Drive AI/data/raw/IMG_2633.jpeg,538,323,1079,1015
C:\Users\bopa17452\OneDrive - Hatch Ltd\Documents\GitHub\Dream Drive AI/data/raw/IMG_2634.jpeg,458,307,1070,1015
C:\Users\bopa17452\OneDrive - Hatch Ltd\Documents\GitHub\Dream Drive AI/data/raw/IMG_2635.jpeg,473,210,1063,1009
C:\Users\bopa17452\OneDrive - Hatch Ltd\Documents\GitHub\Dream Drive AI/data/raw/IMG_2636.jpeg,685,316,1085,1010
